SN,adjclose,open,high,low,volume,s,RSI
1576.0,251,262,262,251,21406,ok,56.69417347
1565.0,240,245,248,234,10791,ok,50.88351225
1546.0,250,260,260,241,33444,ok,67.65694531
1352.0,195,195,195,193,1254,ok,51.87581986
1332.0,198,196,199,193,470,ok,56.7121111
1573.0,254,235,254,235,34592,ok,60.72651499
1358.0,194,195,195,193,2198,ok,50.23233789
1353.0,192,195,195,192,3551,ok,45.6356698
1312.0,190,190,190,190,677,ok,53.28457543
1320.0,190,191,193,190,300,ok,52.62339363
1538.0,230,228,234,225,31850,ok,73.60923319
1315.0,189,189,189,189,122,ok,51.80390683
1379.0,198,193,202,192,10888,ok,59.85447863
1518.0,229,217,235,215,86698,ok,81.5922314
1437.0,181,187,187,181,4250,ok,47.91264864
1469.0,168,166,168,165,1165,ok,50.38540734
1380.0,196,201,201,194,4438,ok,55.9338283
1533.0,219,220,221,217,15139,ok,64.28709713
1478.0,162,165,167,162,2724,ok,43.67409087
1521.0,217,214,218,212,15410,ok,67.09606108
1527.0,217,215,219,214,9042,ok,64.56842621
1383.0,191,193,194,191,3499,ok,47.22171587
1354.0,192,191,192,191,978,ok,45.6356698
1520.0,218,224,227,215,22045,ok,68.2379248
1511.0,200,204,204,199,16532,ok,70.48151231
1500.0,173,174,174,171,2249,ok,60.28081707
1440.0,175,175,178,174,2729,ok,42.22956799
1569.0,236,235,236,234,1572,ok,48.47219456
1477.0,164,163,164,160,3858,ok,46.43355134
1560.0,252,243,252,240,15185,ok,61.55788483
1387.0,200,201,201,197,2250,ok,61.48703472
1557.0,244,237,244,237,4142,ok,55.79872299
1465.0,170,164,172,164,3081,ok,52.98318665
1396.0,162,164,165,162,1128,ok,24.17142776
1369.0,190,193,193,190,1211,ok,44.73564141
1328.0,192,198,198,190,6205,ok,50.32587587
1572.0,231,228,237,225,37396,ok,44.91982805
1350.0,192,193,193,192,1010,ok,45.06696492
1559.0,245,249,249,240,6184,ok,56.51320853
1368.0,190,190,191,190,3995,ok,44.73564141
1487.0,167,167,167,161,4774,ok,55.22534233
1510.0,202,200,204,200,17261,ok,73.58808522
1420.0,181,185,185,181,2600,ok,48.70984688
