date,close,open,high,low,volume,s,RSI
2016-08-22,202.79,202.79,202.79,202.79,0,ok,
2016-08-23,202.79,202.79,202.79,202.79,0,ok,
2016-08-24,202.79,202.79,202.79,202.79,0,ok,
2016-08-28,202.79,202.79,202.79,202.79,0,ok,
2016-08-28,202.79,202.79,202.79,202.79,0,ok,
2016-08-29,202.79,202.79,202.79,202.79,0,ok,
2016-08-30,202.79,202.79,202.79,202.79,0,ok,
2016-08-31,202.79,202.79,202.79,202.79,0,ok,
2016-09-01,202.79,202.79,202.79,202.79,0,ok,
2016-09-04,202.79,202.79,202.79,202.79,0,ok,
2016-09-05,202.79,202.79,202.79,202.79,0,ok,
2016-09-06,202.79,202.79,202.79,202.79,0,ok,
2016-09-07,202.79,202.79,202.79,202.79,0,ok,
2016-09-08,202.79,202.79,202.79,202.79,0,ok,
2016-09-11,202.79,202.79,202.79,202.79,0,ok,
2016-09-12,202.79,202.79,202.79,202.79,0,ok,
2016-09-18,202.79,202.79,202.79,202.79,0,ok,
2016-09-18,202.79,202.79,202.79,202.79,0,ok,
2016-09-20,202.79,202.79,202.79,202.79,0,ok,
2016-09-21,202.79,202.79,202.79,202.79,0,ok,
2016-09-21,202.79,202.79,202.79,202.79,0,ok,
2016-09-22,202.79,202.79,202.79,202.79,0,ok,
2016-09-25,202.79,202.79,202.79,202.79,0,ok,
2016-09-28,202.79,202.79,202.79,202.79,0,ok,
2016-09-29,202.79,202.79,202.79,202.79,0,ok,
2016-10-02,202.79,202.79,202.79,202.79,0,ok,
2016-10-03,202.79,202.79,202.79,202.79,0,ok,
2016-10-04,202.79,202.79,202.79,202.79,0,ok,
2016-10-06,202.79,202.79,202.79,202.79,0,ok,
2016-10-16,202.79,202.79,202.79,202.79,0,ok,
2016-10-17,202.79,202.79,202.79,202.79,0,ok,
2016-10-19,202.79,202.79,202.79,202.79,0,ok,
2016-10-20,202.79,202.79,202.79,202.79,0,ok,
2016-10-23,202.79,202.79,202.79,202.79,0,ok,
2016-10-24,202.79,202.79,202.79,202.79,0,ok,
2016-10-25,202.79,202.79,202.79,202.79,0,ok,
2016-10-26,202.79,202.79,202.79,202.79,0,ok,
2016-10-27,202.79,202.79,202.79,202.79,0,ok,
2016-11-03,202.79,202.79,202.79,202.79,0,ok,
2016-11-07,202.79,202.79,202.79,202.79,0,ok,
2016-11-08,202.79,202.79,202.79,202.79,0,ok,
2016-11-09,202.79,202.79,202.79,202.79,0,ok,
2016-11-10,202.79,202.79,202.79,202.79,0,ok,
2016-11-13,202.79,202.79,202.79,202.79,0,ok,
2016-11-14,202.79,202.79,202.79,202.79,0,ok,
2016-11-15,202.79,202.79,202.79,202.79,0,ok,
2016-11-16,202.79,202.79,202.79,202.79,0,ok,
2016-11-17,202.79,202.79,202.79,202.79,0,ok,
2016-11-20,202.79,202.79,202.79,202.79,0,ok,
2016-11-21,203.91,202.79,203.91,203.35,266445,ok,100.0
2016-11-22,203.91,203.91,203.91,203.91,0,ok,100.0
2016-11-23,203.91,203.91,203.91,203.91,0,ok,100.0
2016-11-24,203.91,203.91,203.91,203.91,0,ok,100.0
2016-11-27,203.91,203.91,203.91,203.91,0,ok,100.0
2016-11-28,203.91,203.91,203.91,203.91,0,ok,100.0
