,id,contractId,contractType,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
207,,2021053105001153,,SHL,49,50,200,240.0,48000.0,2021-05-31,30135934,147,Online Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2021-05-31T14:07:21.472368,Soaltee Hotel Limited
208,,2021053105001152,,SHL,38,50,300,240.0,72000.0,2021-05-31,30135932,147,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2021-05-31T14:07:21.471832,Soaltee Hotel Limited
209,,2021053105001151,,SHL,22,50,172,240.0,41280.0,2021-05-31,30135930,147,Siprabi Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2021-05-31T14:07:21.471331,Soaltee Hotel Limited
210,,2021053105001150,,SHL,56,50,100,240.0,24000.0,2021-05-31,30135928,147,Sri Hari Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2021-05-31T14:07:21.470628,Soaltee Hotel Limited
211,,2021053105001149,,SHL,19,26,420,240.0,100800.0,2021-05-31,30134228,147,Nepal Investment And Securities Trading Private Limited,Asian Securities Private Ltd.,2021-05-31T14:05:01.71047,Soaltee Hotel Limited
212,,2021053105001148,,SHL,14,34,146,240.0,35040.0,2021-05-31,30134142,147,Nepal Stock House (PVT) Ltd.,Vision Securities Pvt. Ltd,2021-05-31T14:04:49.005241,Soaltee Hotel Limited
213,,2021053105001147,,SHL,36,48,100,241.0,24100.0,2021-05-31,30134066,147,Secured Securities Ltd.,Trishakti Securities Public Limited,2021-05-31T14:04:36.926076,Soaltee Hotel Limited
214,,2021053105001146,,SHL,56,28,100,241.0,24100.0,2021-05-31,30133625,147,Sri Hari Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,2021-05-31T14:04:03.095499,Soaltee Hotel Limited
215,,2021053105001145,,SHL,35,28,400,241.0,96400.0,2021-05-31,30133310,147,Kohinoor Investment & Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,2021-05-31T14:03:48.020461,Soaltee Hotel Limited
216,,2021053105001144,,SHL,25,28,100,241.0,24100.0,2021-05-31,30132768,147,Sweta Securities Private Limited,Shree Krishna Securities Ltd.,2021-05-31T14:02:54.726871,Soaltee Hotel Limited
217,,2021053105001143,,SHL,14,51,127,240.0,30480.0,2021-05-31,30132429,147,Nepal Stock House (PVT) Ltd.,Oxford Securities Pvt. Ltd.,2021-05-31T14:02:33.820967,Soaltee Hotel Limited
218,,2021053105001142,,SHL,57,28,365,241.0,87965.0,2021-05-31,30132350,147,Aryatara Investment & Securities,Shree Krishna Securities Ltd.,2021-05-31T14:02:25.081439,Soaltee Hotel Limited
219,,2021053105001141,,SHL,57,51,135,241.0,32535.0,2021-05-31,30132347,147,Aryatara Investment & Securities,Oxford Securities Pvt. Ltd.,2021-05-31T14:02:25.080591,Soaltee Hotel Limited
220,,2021053105001140,,SHL,5,51,100,241.0,24100.0,2021-05-31,30132232,147,Market Securities & Exchange (PVT) Ltd.,Oxford Securities Pvt. Ltd.,2021-05-31T14:02:16.878868,Soaltee Hotel Limited
