,adjclose,open,high,low,volume,other,RSI,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,WilliamR
1533,674,668.0,693.0,661,8339,ok,65.73212140078687,60.689655172413794,0.6563668429034846,0.6539290426192186,0.6977865386657786,21.710366048158903,5.050212857348143,26.441995757642122,620.8,539.1113226940605,702.4886773059394,26.31722851351142,685.0,625.2,9.128377346969922,-39.310344827586206
1534,679,687.0,687.0,670,5786,ok,66.8777238015224,64.13793103448276,0.694348368448776,0.6564609637491209,0.6555166354577494,21.295185343052367,3.708025721793284,25.49779618187791,626.4,544.8760157990678,707.9239842009322,26.029369157385762,690.4666666666666,633.6666666666666,8.579196455543242,-35.86206896551724
1535,672,675.0,675.0,670,4135,ok,63.66861235873659,59.310344827586206,0.5879528614529812,0.646222690935081,0.6522042324344736,19.704562007594745,1.6939219090685285,23.848016563690116,630.3,547.8910199068462,712.7089800931537,26.149129015755605,695.6333333333333,640.6333333333333,8.231889842346837,-40.689655172413794
1536,669,672.0,672.0,661,1162,ok,62.28910722790174,57.241379310344826,0.5422164791505139,0.6081725696840907,0.6369520747894309,17.785006071782163,-0.18050722139524567,22.563214907321104,635.0,555.0575206789671,714.9424793210329,25.178733644419815,700.3666666666666,644.9666666666666,8.235877106045587,-42.758620689655174
1537,669,670.0,683.0,659,5604,ok,62.28910722790174,54.411764705882355,0.3712954183154115,0.5004882529729692,0.5849611711973804,16.018769719324496,-1.5573948590823328,22.706893416588994,639.2,561.4089979496746,716.9910020503255,24.340113282329618,705.8333333333334,648.6333333333334,8.44612885760692,-45.588235294117645
1538,661,667.0,667.0,659,3365,ok,58.377278099817815,45.3125,0.03338023674210907,0.31563071140267857,0.47476384468657956,13.51325397640744,-3.25032848159951,21.436204074930096,642.75,567.8370505186606,717.6629494813394,23.31013597241211,700.4333333333333,651.6333333333333,7.218578965534237,-54.6875
1539,670,674.0,699.0,663,5728,ok,61.32026586114806,47.41379310344828,0.16608714789433598,0.19025426765061926,0.3354577440087558,12.44738496954119,-3.4529579907726102,23.092583667437086,646.75,575.0565553903729,718.4434446096271,22.170373284770665,696.9,649.9,6.97950697950698,-52.58620689655172
1540,670,671.0,681.0,669,9935,ok,61.32026586114806,47.41379310344828,0.16608714789433598,0.1218515108435941,0.20924549663229738,11.403145039620313,-3.59775833655479,21.983325300693377,650.35,581.641121388909,719.058878611091,21.129815825660334,693.5,651.5,6.245353159851301,-52.58620689655172
1541,669,671.0,675.0,668,4733,ok,60.76659743837454,31.11111111111111,0.13484093938953262,0.15567174505940196,0.1559258411845385,10.28853113647449,-3.769897791760492,20.48499277062404,653.85,588.9338232796046,718.7661767203955,19.856596075673462,689.8,655.0,5.1754907792980305,-68.88888888888889
1542,666,665.0,675.0,665,2625,ok,59.04421720248848,20.73170731707317,0.03763862522204658,0.11285557083530547,0.1301262755794339,8.930562730929864,-4.102292957844096,19.436493493561635,657.85,600.763136362263,714.936863637737,17.3555867257694,687.9,655.5,4.8235819562304565,-79.26829268292683
1543,658,655.0,668.0,650,5835,ok,54.59985903358742,15.517241379310345,0.0,0.057493188203860145,0.10867350136618927,6.882323765839033,-4.920425538347942,19.29284414420547,661.45,614.8175006031894,708.0824993968107,14.10008296826991,684.7666666666667,655.1666666666667,4.418130255236565,-84.48275862068965
1544,660,655.0,664.0,655,7007,ok,55.50163860552068,22.0,0.0734475895424716,0.0370287382548398,0.0691258324313352,5.518545622916008,-5.0273629450167725,18.263559729784923,664.2,625.3742353585468,703.0257646414533,11.690986040786886,682.0666666666666,654.0666666666666,4.191198483185311,-78.0
1545,675,660.0,680.0,660,8874,ok,61.653601649499166,51.02040816326531,0.5745089027477635,0.21598549743007878,0.10350247462959299,6.10609294082326,-3.551852501687616,18.437203756806433,667.2,635.4094353621472,698.9905646378529,9.529545754752059,683.5,652.5,4.640718562874251,-48.97959183673469
1546,668,672.0,674.0,660,7660,ok,57.64819273410445,36.734693877551024,0.2482788137948949,0.29874510202837706,0.18391977923776529,5.583752989232721,-3.259353962622523,18.09348338112579,669.35,644.128778776723,694.571221223277,7.536033830814068,683.8,652.2,4.730538922155675,-63.265306122448976
1547,664,660.0,665.0,658,896,ok,55.432058564796115,28.571428571428573,0.0677804770567336,0.29685606453313107,0.2705288879971957,4.640314183460532,-3.3622342147157696,17.28413504301321,671.1,653.6655513424295,688.5344486575706,5.19578264269723,681.3,653.1,4.2266187050359605,-71.42857142857143
1548,658,659.0,663.0,651,6865,ok,52.19103488523674,16.3265306122449,0.0,0.10535309695054323,0.23365142117068385,3.206817868767189,-3.836584423527291,16.85572153871189,669.45,653.695952901128,685.2040470988721,4.706564224026318,681.2,652.2,4.349782510874456,-83.6734693877551
1549,653,651.0,664.0,650,4122,ok,49.58901781846188,6.122448979591836,0.0,0.022593492352244938,0.14160088461197315,1.5810224445651784,-4.369903878183441,16.5701493848407,667.4,654.5563245138513,680.2436754861486,3.8488688900655204,676.8333333333334,652.2333333333333,3.7018459069020895,-93.87755102040816
1550,660,665.0,665.0,646,5335,ok,53.11334486600335,26.41509433962264,0.27750411307513084,0.09250137102504402,0.0734826534426108,1.1957559180905264,-3.8041363237264747,16.81313444635663,666.9,653.7257827559472,680.0742172440528,3.9508823643882995,675.9,649.9,3.9221602051591495,-73.58490566037736
1551,650,673.0,686.0,645,14356,ok,47.95541598395286,9.25925925925926,0.0,0.09250137102504402,0.06919874480077774,-0.21123713522740672,-4.168903501635526,19.231821001720967,665.7,651.0425786717612,680.3574213282388,4.4036116353428865,678.2666666666667,645.4666666666667,4.955680902497979,-90.74074074074075
1552,642,656.0,656.0,639,2550,ok,44.2529695293291,5.0,0.0,0.09250137102504402,0.09250137102504409,-2.067646230478772,-4.820250077509513,19.00863890154887,664.35,646.5255785509454,682.1744214490546,5.365973191557048,676.6666666666667,642.4666666666667,5.185222620912727,-95.0
1553,636,630.0,643.0,630,4335,ok,41.65539325189819,10.714285714285714,0.0,4.070817756958907e-16,0.06166758068336289,-3.9667032289122517,-5.375445660754394,18.407775011393984,662.45,641.3457350283519,683.5542649716482,6.371579733307615,673.9333333333333,640.7333333333333,5.050709939148064,-89.28571428571429
1554,645,645.0,645.0,624,7899,ok,46.70851386640442,33.87096774193548,0.2526786657104948,0.08422622190349867,0.05890919764284777,-4.181688234522653,-4.472344533091837,18.666997510254586,660.75,639.775014898848,681.724985101152,6.348841498646089,672.9666666666667,637.3666666666667,5.43373187484101,-66.12903225806451
1555,630,640.0,640.0,622,1546,ok,40.42450121555524,12.5,0.0,0.08422622190349867,0.056150814602332656,-5.893734948660153,-4.94751299778347,19.10029775922913,658.65,634.4402912038669,682.8597087961331,7.351312167655993,668.6666666666667,633.4666666666667,5.4065123899242336,-87.5
1556,623,630.0,630.0,622,3765,ok,37.864364611777205,1.5625,0.0,0.08422622190349867,0.08422622190349875,-7.709625641183379,-5.410722952245356,17.990267983306218,656.35,628.1062396272454,684.5937603727547,8.60631077100774,663.8333333333334,629.8333333333334,5.256377222365369,-98.4375
1557,629,635.0,635.0,622,12866,ok,41.296171102830584,10.9375,0.14425878751855956,0.04808626250618692,0.07217956877106149,-8.10802844981231,-4.647300608699428,17.491241184975596,654.35,624.3615022051188,684.3384977948813,9.16588914033201,661.0666666666666,625.8666666666666,5.47036883547452,-89.0625
1558,629,622.0,630.0,620,8647,ok,41.296171102830584,13.636363636363637,0.14425878751855956,0.09617252501237344,0.07616166980735307,-8.183269195288744,-3.7780330833406914,16.742117066478038,652.75,620.9891750737861,684.5108249262139,9.731390249318697,657.7666666666667,622.9666666666667,5.434386549372748,-86.36363636363636
