date,adjclose,open,high,low,volume,other,RSI,stoch,stochsignal,rsidata,rsidata_k,rsidata_d,macd,macddiff,macdsignal
2018-02-08,1661.72,1654.27,1666.45,1644.84,37521700.0,ok,43.129018687044216,29.088402550405164,15.336035218106252,0.23440457515328272,0.13461892644578774,0.2473575797777651,-12.161976482768296,-0.32463303157341805,-11.837343451194878
2018-02-11,1648.98,1661.72,1665.28,1646.25,34326800.0,ok,41.23425493747933,7.212543554007132,12.100315368137432,0.0,0.07813485838442757,0.13312631438490066,-13.531414720962175,-1.3552570158138373,-12.176157705148338
2018-02-12,1642.28,1648.98,1649.34,1639.38,26399700.0,ok,40.23319502362834,4.613426662424225,13.638124255612174,0.0,0.07813485838442757,0.09696288107154767,-14.88852227524535,-2.16989165607761,-12.71863061916774
2018-02-14,1662.83,1642.28,1662.83,1635.73,28238100.0,ok,44.670132003457134,40.74575251841815,17.52390757828317,0.5800568300672322,0.1933522766890774,0.11654066448597755,-13.175818305978055,-0.36575014944825135,-12.810068156529804
2018-02-15,1725.74,1662.83,1726.66,1663.67,85308304.0,ok,55.549273517001375,98.98823270647745,48.11580396243994,1.0,0.5266856100224108,0.26605758169863863,-4.676397825843196,6.506936264549285,-11.183334090392481
2018-02-18,1695.42,1725.74,1742.15,1693.8,60040900.0,ok,50.405228345898045,56.089080999812076,65.27435540823589,0.6641408456264406,0.748065891897891,0.48936792620312647,-2.053677547580719,7.303725234249411,-9.35740278183013
2018-02-20,1657.91,1695.42,1700.25,1654.72,32974600.0,ok,44.869438719591216,20.841947002443195,58.63975356957757,0.3027043572523405,0.6556150676262603,0.6434555231821873,-4.357508526866695,3.999915403970748,-8.357423930837443
2018-02-21,1654.01,1657.91,1658.58,1647.98,16511800.0,ok,44.324373063230176,17.177222326630297,31.369416776295186,0.26711654953792646,0.4113205841389025,0.6050005145543512,-6.276021092129213,1.6651222709665854,-7.941143363095798
2018-02-22,1649.53,1654.01,1657.67,1647.45,35663800.0,ok,43.668135744851334,12.967487314414532,16.99555221449601,0.22427024794298603,0.264697051577751,0.44387756778097126,-7.945214443616351,-0.003256864416441907,-7.941957579199909
2018-02-25,1636.63,1649.53,1651.4,1634.96,25906900.0,ok,41.75130082239107,1.557981154958552,10.567563598667794,0.09911843945038547,0.19683507897709931,0.29095090489791764,-10.336379860851366,-1.9155378253211648,-8.420842035530201
2018-02-26,1606.47,1636.63,1637.19,1604.04,45226400.0,ok,37.59612455784816,1.7594670914488897,5.428311853607325,0.0,0.10779622913112384,0.18977611989532475,-15.08542311570909,-5.331664864143111,-9.75375825156598
2018-02-27,1607.45,1606.47,1632.55,1604.43,44854900.0,ok,37.812695703339976,2.4690464122801234,1.928831552895855,0.012063128645819156,0.037060522698734874,0.11389727693565271,-17.887343807568413,-6.506868444801945,-11.380475362766468
2018-02-28,1584.92,1607.45,1608.4,1577.7,47032100.0,ok,34.82079285454341,4.390392216479189,2.872968573402734,0.0,0.004021042881939719,0.04962593157059952,-21.88614468570404,-8.404535458350056,-13.481609227353983
2018-03-04,1525.91,1584.92,1583.71,1503.27,48250400.0,ok,28.467387474068218,9.47756195579374,5.445666861517684,0.0,0.004021042881939719,0.015034202820871473,-30.667015794397912,-13.748325253635144,-16.918690540762768
2018-03-05,1482.15,1525.91,1536.44,1475.8,44295900.0,ok,24.84683119689693,2.3840810963019083,5.417345089524946,0.0,0.0,0.0026806952546265164,-40.842753454867534,-19.13925033128381,-21.703503123583722
2018-03-06,1501.16,1482.15,1517.75,1448.68,47574300.0,ok,29.067327274470344,17.882577435513003,9.914740162536217,0.13746450635980037,0.04582150211993346,0.016614181667291096,-44.75714607309692,-18.442914359610555,-26.314231713486365
2018-03-07,1526.8,1501.16,1532.82,1501.01,45392900.0,ok,34.4170097483497,26.619415953930517,15.628691495248475,0.3117074026774107,0.14972396967907034,0.0651818239330013,-43.50938921475927,-13.756126001018323,-29.753263213740944
2018-03-11,1481.28,1526.8,1527.0,1479.87,33481700.0,ok,30.079668059049382,11.108460830749278,18.536818073397598,0.17043715309664176,0.2065363540446176,0.13402727528120717,-46.63021436912413,-13.501560924306553,-33.12865344481758
2018-03-12,1461.98,1481.28,1485.68,1460.43,25558100.0,ok,28.44298205711442,4.531979418679917,14.086618734453237,0.14070330151192695,0.20761595242865982,0.1879587587174493,-49.780903009941085,-13.321799652098804,-36.45910335784228
2018-03-13,1457.69,1461.98,1461.93,1452.37,19315000.0,ok,28.07727615555268,3.58150812895019,6.407316126126461,0.16133987319055454,0.15749344259970774,0.19054858302432842,-51.206665452729794,-11.798049675910008,-39.408615776819786
2018-03-14,1466.26,1457.69,1466.26,1456.45,17719100.0,ok,30.01316929992143,8.375416865173863,5.4963014709346565,0.26524589901944734,0.1890963579073096,0.1847352509785591,-49.975793426688824,-8.453742119895232,-41.52205130679359
2018-03-15,1468.75,1466.26,1469.29,1460.31,22813600.0,ok,30.597679981935414,9.603330302885274,7.186751765669776,0.3055499564541883,0.2440452428880634,0.1968783477983603,-47.614183299384194,-4.873705594072483,-42.74047770531171
2018-03-18,1457.83,1468.75,1472.48,1457.61,32090000.0,ok,29.436575285774836,4.5136148382004055,7.4974540020865135,0.27151068271056317,0.28076884606139957,0.23797014895225754,-46.01913967311498,-2.6229295742426046,-43.39621009887237
2018-03-19,1447.48,1457.83,1458.46,1444.37,16028900.0,ok,28.338913672617522,1.6129032258065163,5.243282788964065,0.2693289347567439,0.28212985797383183,0.2689813156410983,-44.93011840870372,-1.2271266478650702,-43.70299176083865
2018-03-20,1427.12,1447.48,1447.94,1417.09,30738500.0,ok,26.26415878088035,4.655156409542361,3.593891491183094,0.10931223161240845,0.21671728302657187,0.25987199568726776,-45.330051400994535,-1.301647712124705,-44.02840368886983
