date,close,open,high,low,volume,s
2018-02-26,2429.2,2461.62,2463.38,2429.2,589750,ok
2018-02-27,2418.79,2429.2,2432.83,2418.79,285100,ok
2018-02-28,2414.13,2418.79,2432.82,2413.44,1022660,ok
2018-03-04,2360.93,2414.13,2409.01,2360.93,1928900,ok
2018-03-05,2314.46,2360.93,2369.45,2314.46,10289100,ok
2018-03-06,2325.72,2314.46,2329.13,2310.27,1714390,ok
2018-03-07,2323.33,2325.72,2342.94,2314.09,1277760,ok
2018-03-11,2271.16,2323.33,2295.1,2271.16,2206920,ok
2018-03-12,2292.1,2271.16,2314.07,2279.0,7696910,ok
2018-03-13,2259.45,2292.1,2267.43,2259.45,13202300,ok
2018-03-14,2252.63,2259.45,2259.45,2245.81,2006780,ok
2018-03-15,2226.73,2252.63,2232.26,2218.69,814910,ok
2018-03-18,2200.58,2226.73,2200.58,2200.11,271630,ok
2018-03-19,2202.38,2200.58,2207.03,2202.38,425440,ok
2018-03-20,2158.81,2202.38,2182.83,2153.77,956590,ok
2018-03-21,2217.29,2158.81,2225.2,2142.66,2295140,ok
2018-03-22,2184.23,2217.29,2190.1,2151.52,2770350,ok
2018-03-26,2123.28,2184.23,2183.71,2123.28,1550360,ok
2018-03-27,2138.04,2123.28,2138.04,2108.34,2302960,ok
2018-03-28,2152.76,2138.04,2163.49,2122.41,28213600,ok
2018-03-29,2162.99,2152.76,2162.99,2145.19,841280,ok
2018-04-01,2147.99,2152.76,2189.04,2147.65,13178800,ok
2018-04-02,2114.51,2147.99,2155.43,2114.51,46905700,ok
2018-04-03,2177.58,2114.51,2177.58,2140.04,571990,ok
2018-04-04,2201.98,2177.58,2207.43,2189.46,1133900,ok
2018-04-05,2251.54,2201.98,2255.03,2206.17,1176530,ok
2018-04-08,2303.67,2251.54,2313.83,2251.54,6382490,ok
2018-04-09,2282.52,2303.67,2330.83,2282.52,4810820,ok
2018-04-10,2212.94,2282.52,2266.96,2212.94,10868500,ok
2018-04-11,2225.54,2212.94,2225.54,2198.51,1777400,ok
2018-04-12,2264.28,2225.54,2268.87,2198.92,2015640,ok
2018-04-15,2260.61,2264.28,2260.61,2248.05,1234180,ok
2018-04-16,2271.85,2260.61,2271.85,2261.78,870040,ok
2018-04-17,2326.84,2271.85,2330.85,2270.45,2578510,ok
2018-04-18,2355.19,2326.84,2359.61,2318.45,2697060,ok
2018-04-19,2363.17,2355.19,2368.75,2355.19,2903140,ok
2018-04-22,2403.55,2363.17,2403.55,2371.9,1582790,ok
2018-04-23,2374.47,2403.55,2410.3,2374.47,1893900,ok
2018-04-24,2364.56,2374.47,2382.74,2364.56,436690,ok
2018-04-25,2353.39,2364.56,2370.15,2353.39,831270,ok
2018-04-26,2315.98,2353.39,2344.59,2315.98,551080,ok
2018-04-29,2324.16,2315.98,2324.16,2324.16,61200,ok
2018-05-02,2304.05,2324.16,2321.4,2295.87,728540,ok
2018-05-03,2314.65,2304.05,2333.3,2307.35,1588180,ok
2018-05-06,2305.99,2314.65,2305.99,2305.99,62230,ok
2018-05-07,2295.05,2305.99,2300.4,2295.05,266800,ok
2018-05-08,2292.62,2295.05,2295.82,2287.36,1411260,ok
2018-05-09,2288.19,2292.62,2288.19,2288.19,28756,ok
2018-05-10,2288.19,2288.19,2288.19,2288.19,0,ok
2018-05-14,2313.8,2288.19,2314.0,2293.31,612770,ok
2018-05-15,2341.96,2313.8,2341.96,2319.38,278360,ok
2018-05-16,2335.09,2341.96,2372.92,2328.81,3181830,ok
2018-05-17,2319.13,2335.09,2329.51,2309.36,3048010,ok
2018-05-20,2307.49,2319.13,2325.42,2307.49,893160,ok
2018-05-21,2315.88,2307.49,2315.88,2295.99,1550590,ok
2018-05-22,2321.73,2315.88,2321.73,2310.56,3122940,ok
2018-05-23,2307.15,2321.73,2328.01,2307.15,250930,ok
2018-05-24,2318.56,2307.15,2318.56,2302.5,701770,ok
2018-05-27,2318.09,2318.56,2318.09,2305.99,645750,ok
2018-05-28,2365.54,2318.09,2366.71,2303.89,5750740,ok
2018-05-29,2344.94,2365.54,2359.72,2344.94,1813760,ok
2018-05-30,2336.18,2344.94,2350.99,2336.18,2051440,ok
2018-05-31,2310.98,2344.94,2342.47,2310.98,5756100,ok
2018-06-03,2346.86,2310.98,2348.49,2291.19,6465360,ok
2018-06-04,2328.54,2346.86,2348.96,2327.84,1819880,ok
2018-06-06,2350.55,2328.54,2350.55,2336.45,360490,ok
2018-06-07,2333.75,2350.55,2345.43,2332.35,2295430,ok
2018-06-10,2306.74,2333.75,2329.1,2306.74,1029970,ok
2018-06-11,2314.05,2306.74,2319.94,2300.92,683145,ok
2018-06-12,2319.17,2314.05,2319.17,2318.7,393380,ok
2018-06-13,2330.81,2319.17,2330.81,2319.17,51550,ok
2018-06-14,2379.68,2319.17,2393.78,2336.86,1721040,ok
2018-06-17,2372.45,2379.68,2372.45,2351.09,403040,ok
2018-06-18,2364.27,2372.45,2364.27,2364.27,59200,ok
2018-06-19,2345.15,2364.27,2358.22,2345.15,230530,ok
2018-06-20,2341.5,2345.15,2345.94,2339.33,847930,ok
2018-06-21,2341.27,2341.5,2341.27,2335.68,137080,ok
2018-06-24,2353.29,2341.27,2357.73,2341.27,1149600,ok
2018-06-25,2355.15,2353.29,2361.2,2355.15,71950,ok
2018-06-26,2304.22,2355.15,2327.13,2303.67,2545960,ok
2018-06-27,2284.34,2304.22,2284.34,2276.77,316410,ok
2018-06-28,2268.22,2284.34,2281.74,2257.4,2407240,ok
2018-07-01,2261.23,2268.22,2262.86,2260.53,247472,ok
2018-07-02,2261.1,2261.23,2261.1,2255.91,370000,ok
2018-07-03,2276.54,2261.1,2284.45,2276.54,1141140,ok
2018-07-04,2289.4,2276.54,2289.4,2281.89,124230,ok
2018-07-05,2252.06,2289.4,2300.57,2252.06,915220,ok
2018-07-08,2283.01,2252.06,2283.08,2236.05,2082790,ok
2018-07-09,2290.44,2283.01,2290.44,2290.44,112160,ok
2018-07-10,2219.92,2290.44,2284.16,2219.92,1380880,ok
2018-07-11,2219.45,2219.92,2219.92,2214.1,265120,ok
2018-07-12,2222.25,2219.45,2222.25,2222.25,135500,ok
2018-07-15,2231.63,2222.25,2231.63,2218.99,361850,ok
2018-07-16,2264.14,2231.63,2264.14,2224.12,109900,ok
2018-07-17,2228.48,2264.14,2263.91,2228.48,757660,ok
2018-07-18,2226.44,2228.48,2226.44,2220.98,219200,ok
2018-07-19,2226.9,2226.44,2226.9,2226.9,13000,ok
2018-07-22,2223.49,2226.9,2223.49,2223.49,54500,ok
2018-07-23,2234.4,2223.49,2234.4,2226.9,111100,ok
2018-07-24,2214.66,2234.4,2228.35,2214.66,1167270,ok
2018-07-25,2217.59,2214.66,2217.59,2214.8,323320,ok
2018-07-26,2217.59,2217.59,2217.59,2217.59,220000,ok
2018-07-29,2210.77,2217.59,2234.12,2210.77,774500,ok
2018-07-30,2215.43,2210.77,2215.43,2210.77,1089410,ok
