date,adjclose,open,high,low,volume,other,RSI
1562457600,616,615,616,610,15003,ok,49.000834670117776
1562544000,612,608,614,607,16551,ok,47.41130935721429
1562630400,610,607,613,605,14500,ok,46.59739207626924
1562716800,601,602,608,600,25835,ok,43.01848342977311
1562803200,588,600,602,578,54007,ok,38.42739674955046
1563062400,588,590,590,582,11935,ok,38.42739674955046
1563148800,607,599,607,579,60185,ok,47.85962243734252
1563235200,608,637,637,601,24650,ok,48.30844773175421
1563321600,627,610,628,606,38928,ok,56.0495796765807
1563408000,630,627,645,626,41263,ok,57.14096870583913
1563667200,623,661,661,617,25405,ok,53.7848451404936
1563753600,625,616,630,616,23758,ok,54.60522103052686
1563840000,625,625,637,623,17637,ok,54.60522103052687
1563926400,622,634,634,622,11085,ok,52.96947903707706
1564012800,614,620,625,611,18080,ok,48.7736364534429
1564272000,600,610,610,597,34301,ok,42.43824273987384
1564358400,599,611,611,597,30653,ok,42.01840192990136
1564444800,597,603,605,597,16437,ok,41.141754930619285
1564531200,602,600,617,597,21180,ok,44.27203431681901
1564617600,598,602,610,598,11897,ok,42.33238507621834
1564876800,590,600,600,590,13070,ok,38.68216403967183
1564963200,583,590,600,580,27388,ok,35.775314070813266
1565049600,577,589,589,574,13763,ok,33.45468017712341
1565136000,588,577,596,574,18146,ok,41.00961195619895
1565222400,580,585,588,575,13790,ok,37.66084393764646
1565481600,575,570,585,570,10415,ok,35.69876148667649
1565568000,580,575,581,573,5810,ok,39.114806461249934
1565654400,577,580,580,574,4565,ok,37.81666100931681
1565740800,573,571,579,571,4635,ok,36.09649400840029
1565827200,581,582,597,576,27566,ok,41.79860306426753
1566086400,582,585,585,578,23761,ok,42.48940475576775
1566172800,588,582,594,581,19937,ok,46.58589454744807
1566259200,583,583,589,583,4743,ok,43.786841854426406
1566345600,582,576,584,576,12255,ok,43.22743118896414
1566432000,577,582,586,575,10684,ok,40.44510661330504
1566691200,578,573,578,567,9424,ok,41.259437936971935
1566777600,573,571,574,570,10915,ok,38.42994788008647
1566864000,575,573,580,573,7860,ok,40.1966172907656
1566950400,573,575,575,570,4276,ok,38.99173933114327
1567036800,563,575,580,560,15767,ok,33.57299858709737
1567296000,545,563,565,545,21700,ok,26.448116231175263
1567382400,530,555,555,527,28416,ok,22.21682435258269
1567468800,552,529,552,515,25468,ok,37.90726482628405
1567555200,544,550,558,540,20583,ok,35.132000606003714
1567641600,542,540,554,540,10886,ok,34.45290269131908
1567900800,535,545,545,527,15206,ok,32.1131741266328
1567987200,538,530,538,529,1758,ok,34.17631899075221
1568073600,530,536,539,525,6930,ok,31.432958413064934
1568160000,528,533,533,522,9993,ok,30.768019359229623
1568246400,522,527,532,519,8896,ok,28.7997215459755
