,adjclose,open,high,low,volume,other,RSI
728,388,388,388,388,100,ok,47.242040257818985
729,388,381,388,381,210,ok,47.242040257818985
730,395,395,395,385,170,ok,51.04365754803604
731,388,390,390,388,700,ok,47.367881472353766
732,390,390,390,390,268,ok,48.5088058594201
733,390,390,390,390,150,ok,48.5088058594201
734,379,383,383,377,827,ok,42.61613567102114
735,375,381,381,375,863,ok,40.68089901263938
736,378,371,378,371,161,ok,42.77962929777343
737,385,385,385,385,10,ok,47.45143130643606
738,388,392,395,382,1793,ok,49.35969324386421
739,384,385,385,384,280,ok,46.9134593723346
740,377,384,384,377,320,ok,42.90602400472313
741,370,380,380,370,200,ok,39.29149049691708
742,364,363,365,363,950,ok,36.456528818222274
743,357,356,360,356,410,ok,33.426344497181205
744,353,355,355,351,400,ok,31.799804254286585
745,348,350,351,347,3125,ok,29.84483552828901
746,352,350,352,350,1300,ok,33.37370582357015
747,345,345,345,345,110,ok,30.48389606570757
748,325,345,345,325,805,ok,24.07075058866772
749,315,319,330,313,1288,ok,21.621459949620917
750,319,313,319,313,1007,ok,24.91271665055117
751,313,313,313,313,10,ok,23.33016347737544
752,304,319,319,304,1800,ok,21.15892845754236
753,315,298,315,298,962,ok,29.76275031252149
754,320,321,321,320,475,ok,33.324529430360926
755,335,325,337,324,3856,ok,42.710523544677486
756,330,329,335,329,709,ok,40.65603988927206
757,324,324,324,324,812,ok,38.27663950771856
758,308,325,325,308,2504,ok,32.76907002176034
759,302,310,310,302,1000,ok,30.96947032278426
760,300,303,308,300,1250,ok,30.370740886382947
761,306,306,306,306,400,ok,34.46411944388885
762,299,306,306,296,1650,ok,32.09361767471074
763,294,294,299,289,3276,ok,30.48090287374235
764,294,290,300,290,930,ok,30.48090287374237
765,304,299,304,299,300,ok,37.73797592184064
766,294,298,298,292,3562,ok,33.92422765063492
767,284,287,287,284,503,ok,30.59455011893965
768,276,280,280,274,1620,ok,28.209172077398264
769,250,250,250,250,550,ok,22.161586339161783
770,252,250,252,245,832,ok,23.51984285409428
771,245,249,249,245,310,ok,22.068364082874357
772,235,241,241,233,1350,ok,20.15480644588547
773,226,231,231,226,200,ok,18.592267138996945
774,227,223,233,223,1060,ok,19.340522603396156
775,238,226,238,226,374,ok,27.26063115291696
776,246,242,250,242,1290,ok,32.45520142936235
777,245,250,250,245,900,ok,32.146169026988034
778,238,245,245,238,850,ok,29.993258029184677
779,239,242,242,239,160,ok,30.70721414446058
780,242,240,242,240,640,ok,32.91749203882664
781,246,246,246,246,100,ok,35.85542712418953
782,249,246,249,246,400,ok,38.04692823961719
783,241,245,245,241,760,ok,34.64749130613349
784,237,237,237,237,200,ok,33.05709009288093
785,225,233,233,225,200,ok,28.787854333239903
786,205,229,229,205,1586,ok,23.370502920301192
787,210,209,210,209,145,ok,27.0656726035284
788,212,212,212,212,50,ok,28.54985139692749
789,229,215,229,215,990,ok,39.76939246514355
790,222,225,225,222,662,ok,37.18046114111164
791,218,220,220,218,106,ok,35.74835796993081
792,222,222,222,222,100,ok,38.30739927995077
793,224,225,225,224,30,ok,39.60268443898262
794,209,220,220,208,960,ok,33.860562329630284
795,201,205,205,200,520,ok,31.2574951178504
796,202,204,204,200,840,ok,31.96160424984249
797,210,206,214,205,710,ok,37.478779059797134
798,214,214,217,213,970,ok,40.09445761601736
799,209,210,210,209,180,ok,37.95678572765413
800,213,213,225,213,405,ok,40.68150340294355
801,215,217,217,215,132,ok,42.05182243545976
802,215,215,215,215,100,ok,42.05182243545975
803,211,211,211,211,200,ok,39.91313761895772
804,207,207,207,207,187,ok,37.84058986832137
805,210,210,214,210,211,ok,40.34265463165649
806,206,206,206,206,400,ok,38.13832423781163
807,217,210,217,210,300,ok,46.75446505814426
808,213,215,215,213,829,ok,44.33621233285588
809,215,215,215,215,50,ok,45.84447185825808
810,217,215,217,217,1000,ok,47.37993496493435
811,238,221,238,221,742,ok,60.15458312648099
812,246,238,246,238,818,ok,63.76366858572604
813,255,242,255,238,1975,ok,67.34694132416949
814,245,250,250,245,210,ok,60.22124153657287
815,253,249,254,245,4350,ok,63.544382571839904
816,269,253,269,255,3100,ok,69.10366994084312
817,265,269,274,265,1900,ok,66.37842042265964
818,260,265,260,260,100,ok,63.03214310954424
819,270,265,270,264,1143,ok,66.65296317761786
820,270,265,275,265,2182,ok,66.65296317761785
821,270,275,275,270,1250,ok,66.65296317761786
822,260,270,270,255,2111,ok,59.38797016146247
823,256,257,261,256,1458,ok,56.724598087438295
824,253,251,256,251,1079,ok,54.74171236695019
825,270,252,270,252,2056,ok,62.69890978668735
826,292,275,297,270,5020,ok,70.04002315787038
827,277,287,287,277,330,ok,61.19659012758154
828,262,277,277,262,670,ok,53.87141998027038
829,260,260,260,255,2714,ok,52.961147734852695
830,275,260,275,265,180,ok,58.60993172419237
831,274,280,282,274,791,ok,58.10893533735898
832,279,279,279,279,500,ok,59.95223664834946
833,275,280,284,275,1710,ok,57.76248203163074
834,275,280,280,275,510,ok,57.76248203163074
835,280,275,280,275,982,ok,59.88650841106719
836,275,275,275,275,200,ok,56.809913428240165
837,275,270,275,265,665,ok,56.809913428240165
838,275,275,275,275,453,ok,56.809913428240165
839,279,280,285,276,4388,ok,58.918685785832686
840,273,276,276,273,1240,ok,54.6113890589732
841,269,268,269,264,230,ok,51.887985657456376
842,281,269,281,274,756,ok,58.563937166489445
843,295,286,300,285,2605,ok,64.7153746753126
844,290,290,290,290,50,ok,61.21981440836549
845,285,285,285,285,200,ok,57.854459669638935
846,276,280,280,276,1100,ok,52.28314447838082
847,276,276,276,271,2010,ok,52.28314447838082
848,268,271,271,261,5900,ok,47.56150008841793
849,263,263,263,263,100,ok,44.83613644310578
850,265,262,265,262,762,ok,46.16499377489162
