date,open,high,low,adjclose,volume,RSI,adjclose_5,true_adjclose_5,buy_profit,sell_profit
2019-01-28,838.0,838.0,832,834.0,2227,67.95594108,779.44745,829.0,0.0,54.55255126953125
2019-01-29,834.0,835.0,830,830.0,6286,66.56904861,774.44403,830.0,0.0,0.0
2019-01-30,830.0,841.0,830,837.0,3605,71.6051304,771.26965,828.0,0.0,65.7303466796875
2019-01-31,837.0,844.0,837,841.0,4408,74.5997026,770.15704,831.0,0.0,70.84295654296875
2019-02-03,841.0,845.0,840,841.0,4165,74.5997026,769.7179,824.0000000000001,0.0,71.2821044921875
2019-02-04,841.0,841.0,825,829.0,5154,71.51861822,767.89716,825.0,0.0,61.10284423828125
2019-02-05,829.0,835.0,829,830.0,2150,72.19628109,765.01654,825.0,0.0,64.98345947265625
2019-02-06,830.0,830.0,825,828.0,3267,71.69825383,761.42804,822.0,0.0,66.57196044921875
2019-02-07,828.0,835.0,826,831.0,3757,73.53284012,758.39124,818.0,0.0,72.6087646484375
2019-02-10,831.0,831.0,820,824.0,2399,71.97938265,755.03345,806.9999999999999,0.0,68.966552734375
2019-02-11,824.0,830.0,823,825.0,3879,72.54420521,751.7657,783.0,0.0,73.23431396484375
2019-02-12,825.0,830.0,825,825.0,2448,72.54420521,748.76434,792.9999999999999,0.0,76.23565673828125
2019-02-13,825.0,830.0,818,822.0,3151,71.97535767,745.90546,789.0,0.0,76.09454345703125
2019-02-14,822.0,825.0,818,818.0,2494,71.23755241,742.84894,803.0,0.0,75.15106201171875
2019-02-17,818.0,829.0,807,807.0,6470,69.16454914,739.2621,795.0,0.0,67.7379150390625
2019-02-18,807.0,815.0,778,783.0,29718,63.89213054,733.717,794.0,-49.28302001953125,0.0
2019-02-19,783.0,795.0,776,793.0,7663,68.41835719,728.0668,687.0,0.0,64.9332275390625
2019-02-20,793.0,793.0,780,789.0,9080,67.56490457,722.9448,687.0,0.0,66.05517578125
2019-02-21,789.0,803.0,789,803.0,17561,74.07027474,721.2174,682.0,0.0,81.7825927734375
2019-02-24,803.0,810.0,792,795.0,15486,72.67422599,720.8085,683.0,0.0,74.1915283203125
2019-02-25,795.0,799.0,789,794.0,31622,72.50238648,720.546,686.0,0.0,73.4539794921875
2019-02-26,708.93,708.93,678,687.0,9887,26.70969905,699.3096,688.0,12.3095703125,0.0
2019-02-27,687.0,689.0,681,687.0,4794,26.70969905,672.16516,691.0,-14.8348388671875,0.0
2019-03-03,687.0,691.0,680,682.0,8715,21.4382614,647.1018,696.0,-34.898193359375,0.0
2019-03-05,682.0,690.0,681,683.0,6279,21.72850166,629.3741,720.0,-53.62591552734375,0.0
2019-03-06,683.0,688.0,680,686.0,10200,22.58009129,620.85956,715.0000000000001,-65.14044189453125,0.0
2019-03-07,686.0,690.0,685,688.0,7555,23.14154903,620.8067,715.0000000000001,-67.19329833984375,0.0
2019-03-10,688.0,691.0,686,691.0,1992,23.97177862,627.3676,722.0,-63.63238525390625,0.0
2019-03-11,691.0,700.0,691,696.0,16082,25.38099778,639.3604,722.0,-56.63958740234375,0.0
2019-03-12,696.0,720.0,696,720.0,12884,34.392539,657.6393,722.9999999999999,-62.3607177734375,0.0
2019-03-13,720.0,731.0,715,715.0,11803,29.55392159,676.65375,710.0,0.0,38.34625244140625
2019-03-14,715.0,720.0,708,715.0,3812,29.55392159,693.6989,711.9999999999999,0.0,21.30108642578125
2019-03-17,715.0,730.0,715,722.0,9881,32.44218514,709.55206,711.9999999999999,0.0,12.44793701171875
2019-03-18,722.0,730.0,722,722.0,9174,32.44218514,723.1629,711.9999999999999,0.0,-1.16290283203125
2019-03-19,722.0,724.0,718,723.0,1020,32.83748272,733.78314,708.9999999999999,0.0,-10.78314208984375
2019-03-21,723.0,722.0,708,710.0,8927,21.25518603,738.3752,714.0,28.37518310546875,0.0
2019-03-24,710.0,721.0,709,712.0,5859,21.79205444,740.14496,711.9999999999999,0.0,-28.14495849609375
2019-03-25,712.0,716.0,709,712.0,7028,21.79205444,741.1535,711.9999999999999,0.0,-29.15350341796875
2019-03-26,712.0,712.0,706,712.0,3898,21.79205444,742.2357,717.0,30.2357177734375,0.0
2019-03-27,712.0,715.0,709,709.0,9163,19.3454194,743.3648,724.0,34.36480712890625,0.0
2019-03-28,709.0,719.0,708,714.0,5004,20.32968673,745.48096,727.0,31.48095703125,0.0
