,adjclose,open,high,low,volume,rsi,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,williamr,ichibaseline,ichiconversionline,ichilinea,ichilineb,ema200,adjclose_3,true_adjclose_3,buy_profit,sell_profit
567.0,227,232,233,227,47269,58.44941663808459,34.14634146341464,0.0,0.0410972195840279,0.027398146389352,4.894736460693139,-3.0324972064155906,8.42820792272289,224.05,194.09353158330407,254.00646841669595,26.74087785467167,243.1,226.1,7.246376811594203,-65.85365853658537,217.0,234.5,215.5,225.75,231.3056515070265,235.51811,239.99999999999997,8.518112182617188,0.0
568.0,234,227,234,227,28856,63.40107860402807,48.71794871794872,0.162402417758524,0.0952313588368692,0.0591419326683084,4.804552226219727,-2.498145152711203,8.285387130450601,226.05,199.20619252042488,252.89380747957517,23.750327343132167,240.9,225.9,6.426735218508997,-51.282051282051285,217.5,233.5,215.5,225.5,231.33246094476755,234.3526,241.0,0.35260009765625,0.0
569.0,237,231,238,230,33914,65.30915866917728,54.054054054054056,0.224982783298083,0.1291284003522022,0.0884856595910332,4.956905046183294,-1.8766338661981088,8.256848417405541,228.25,205.7388916310084,250.76110836899164,19.724958045118637,240.23333333333332,225.4333333333333,6.356478167501795,-45.94594594594594,219.0,233.5,215.5,226.25,231.38885436820271,234.2429,249.0,-2.7570953369140625,0.0
570.0,240,239,243,237,64770,67.15334235178766,54.83870967741935,0.2854675035610257,0.2242842348725442,0.1495479980205386,5.273176006993111,-1.2482903243106342,8.031163575664987,230.15,210.60236587204275,249.6976341279573,16.986864330182275,240.23333333333332,225.4333333333333,6.356478167501795,-45.16129032258065,220.0,233.0,215.5,226.5,231.47453740931516,235.14091,250.0,-4.8590850830078125,0.0
573.0,250,250,251,246,130848,72.75549495333038,96.42857142857144,0.7566333834590412,0.6525856451644722,0.4918038685679602,6.934941415881895,0.4901358290711384,7.650718246659776,234.95,217.14578701541507,252.7542129845849,15.155746315884164,242.66666666666663,229.4666666666667,5.5916407794408185,-3.571428571428572,222.0,237.0,215.5,229.5,231.9244218541598,242.80508,249.0,0.0,7.194915771484375
574.0,253,252,254,247,135157,74.280854915456,96.7741935483871,1.0,0.8287734654432338,0.6589631541576133,7.4914398761170276,0.8373074314450166,7.585646421993798,236.75,219.29290974989087,254.20709025010916,14.747277930398422,244.9333333333333,231.5333333333333,5.62473765216176,-3.225806451612903,223.0,238.5,215.5,230.75,232.13412909939208,246.38486,247.0,0.0,6.615142822265625
575.0,253,253,255,250,133851,74.280854915456,93.75,1.0,0.918877794486347,0.8000789683646845,7.691205728227345,0.8296586268442665,7.327081779794417,238.55,222.22241597784756,254.8775840221525,13.689024541733373,247.16666666666663,234.16666666666669,5.401662049861484,-6.25,224.5,241.0,216.0,232.75,232.34174970536827,249.61058,242.0,0.0,3.3894195556640625
578.0,242,247,247,241,46164,59.01367404359803,59.375,0.0356415756817216,0.3700994560744804,0.6456783289465046,5.223495869004182,-1.2875923099189637,6.958442617470129,239.5,223.0136420031456,255.9863579968544,13.767313567310582,251.9,239.7,4.963384865744514,-40.625,234.0,246.0,216.0,240.0,232.74472522247748,252.24478,247.0,10.244781494140625,0.0
581.0,247,245,249,243,44254,62.41355308837613,71.42857142857143,0.2226920001350811,0.2680864687296664,0.2485319867120384,4.044142383637336,-1.4413180519398594,6.689704668135724,240.95,223.79803218285315,258.10196781714683,14.236951912966877,253.96666666666664,242.16666666666669,4.756785810266039,-28.571428571428573,236.0,248.0,216.0,242.0,233.17578894019437,250.81836,255.0,3.818359375,0.0
588.0,256,253,257,251,120805,66.0700313653691,88.23529411764706,0.462191244146329,0.2553807873051525,0.2170914886212519,3.498374505697541,-0.52243079035091,6.528455104684843,248.3,238.4999999999788,258.1000000000212,7.893677003641746,256.43333333333334,244.03333333333336,4.9553749833488645,-11.764705882352942,240.5,250.5,217.5,245.5,234.4399398589455,253.3182,249.0,0.0,2.681793212890625
