,adjclose,open,high,low,volume,other,RSI,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,WilliamR,adjclose_3,true_adjclose_3,buy_profit,sell_profit
836.0,2847,2843.0,2857.0,2820,7263,ok,65.10652155648573,87.55555555555556,0.8233417181165604,0.8415488788030507,0.7691374913102851,36.52459037714789,13.662241660809954,51.31315341043896,2740.15,2622.2393982715107,2858.060601728489,8.606142125685775,2830.7666666666664,2725.7666666666664,3.779334837068676,-12.444444444444445,2775.4167,3000.0,-71.583251953125,0.0
838.0,3013,2980.0,3035.0,2950,51479,ok,76.62456428600528,94.28571428571428,1.0,0.941113906038854,0.8864744339199974,65.46314210765422,29.381998274374915,62.48365426245557,2769.85,2579.827606582872,2959.872393417128,13.720771407630602,2882.9333333333334,2763.9333333333334,4.214726751118614,-5.714285714285714,2822.74,3095.0,-190.260009765625,0.0
841.0,3095,3025.0,3119.0,3020,21053,ok,79.3517595631332,94.70198675496688,1.0,0.9606268654611136,0.964011908392241,86.26407853269848,29.09544860262507,64.2705839573301,2822.35,2565.491069845776,3079.208930154224,18.20177725329773,2978.333333333333,2854.333333333333,4.251914504514802,-5.298013245033113,2880.9172,3080.0,0.0,214.082763671875
855.0,3150,3215.0,3240.0,3100,14411,ok,64.57854691684719,69.39759036144578,0.5475283620546801,0.5887385153831848,0.4795291058520396,50.91273023202712,11.95938369842105,95.37518476974978,3022.2,2855.5859549738734,3188.814045026126,11.02601052386516,3109.3,2930.7,5.913907284768224,-30.602409638554217,2934.483,3290.0,-215.51708984375,0.0
856.0,3110,3150.0,3190.0,3038,7903,ok,60.734928415399466,59.75903614457831,0.5439301275962927,0.613879240933326,0.573676974758703,50.30780178602981,9.083564201938998,101.0376662927748,3035.35,2885.4456638386737,3185.254336161326,9.877235650671338,3127.4333333333334,2930.4333333333334,6.503939780780913,-40.24096385542169,2952.7869,3445.0,-157.213134765625,0.0
859.0,3445,3299.0,3565.0,3340,25303,ok,75.35354940501867,82.93029871977241,1.0,0.8612408897341343,0.7161453604634653,96.18540425697029,37.8335810046362,122.30645872743284,3080.2,2829.4853414736845,3330.914658526315,16.279115546153847,3248.2666666666664,2990.8666666666663,8.25114599249896,-17.069701280227594,3051.2417,3440.0,0.0,393.75830078125
870.0,3436,3490.0,3510.0,3436,19925,ok,59.20281183302976,55.65217391304348,0.0,0.1694880696538868,0.2385992090277061,88.80635474024575,-17.47979244244354,131.8158786500627,3324.3,2926.530669860078,3722.0693301399215,23.93101285322758,3608.0333333333338,3359.0333333333338,7.147914952251544,-44.34782608695652,3245.1663,3434.0,0.0,190.833740234375
872.0,3450,3460.0,3480.0,3405,2555,ok,59.59926812561172,48.83227176220807,0.0245472561742043,0.0319351876445001,0.092466407538404,67.70441148506052,-26.36000583345782,119.67086170655077,3373.1,3050.329555256431,3695.870444743569,19.137911401593133,3622.7,3392.7,6.557003164466744,-51.167728237791934,3249.0793,3325.0,0.0,200.920654296875
873.0,3434,3435.0,3440.0,3400,8917,ok,58.34266219643269,45.43524416135881,0.0,0.0319351876445001,0.0466154468686084,57.04883039355991,-29.61246953996674,112.70377553589567,3392.3,3104.951361583249,3679.648638416752,16.941227982003436,3613.166666666667,3395.166666666667,6.2211652794292505,-54.56475583864119,3245.5256,3310.0,0.0,188.474365234375
874.0,3400,3434.0,3480.0,3400,5103,ok,55.65717577559821,38.21656050955414,0.0,0.0081824187247352,0.0240175980045786,44.49561802428661,-33.732545527392034,109.43339798230612,3401.55,3125.9564768541163,3677.143523145884,16.20399659836744,3587.4333333333334,3384.4333333333334,5.823404540151849,-61.78343949044586,3240.3577,3250.0000000000005,0.0,159.642333984375
875.0,3325,3400.0,3425.0,3325,2460,ok,50.17115045261993,6.3938618925831205,0.0,4.440892098500626e-16,0.013372535456412,26.3848633486341,-41.47464016243565,108.49005818407552,3410.3,3156.997729974719,3663.6022700252815,14.855131221609907,3561.6,3358.0,5.884733221573499,-93.60613810741688,3218.2146,3299.9999999999995,0.0,106.785400390625
876.0,3310,3325.0,3328.0,3180,5393,ok,49.128156501401286,25.44031311154599,0.0,4.440892098500626e-16,0.0027274729082455,11.54570299636498,-45.051040411763815,112.44105236566796,3420.3,3201.80963407976,3638.7903659202407,12.776093671329445,3534.333333333333,3333.1333333333328,5.859511513221769,-74.55968688845401,3196.4016,3299.9999999999995,0.0,113.598388671875
887.0,3560,3580.0,3590.0,3509,8214,ok,60.42452860965397,90.47619047619048,0.9169053755894592,0.9486685171835048,0.8201657355906479,47.154545561511895,22.23473551970782,122.29227671495715,3421.95,3230.242436247391,3613.657563752608,11.204580064151063,3559.4333333333334,3302.2333333333336,7.496720913286368,-9.523809523809524,3297.996,3405.0,0.0,262.00390625
891.0,3400,3405.0,3435.0,3362,15856,ok,50.01140218483908,42.85714285714285,0.1404599731345351,0.3178309009797651,0.4955712557178907,14.025334763603496,-11.646917052860337,104.2678627526834,3413.75,3228.65124257586,3598.84875742414,10.8443065499313,3538.6,3376.8,4.679411169274365,-57.142857142857146,3306.3577,3100.0,0.0,93.642333984375
892.0,3295,3400.0,3400.0,3251,4091,ok,43.811937769198266,12.607449856733524,0.0,0.151181923349274,0.317605886989988,-4.442171198115375,-24.091538411663368,108.74107647741508,3406.0,3214.744150416358,3597.255849583642,11.230525518710628,3537.7,3372.1,4.793192277634661,-87.39255014326648,3277.7163,3340.0,-17.28369140625,0.0
899.0,3100,3200.0,3200.0,3050,7840,ok,38.37775068500137,9.090909090909092,0.1357250658517985,0.2931564360915082,0.3946858704519729,-61.03545824679213,-29.183233764703893,120.16562878181055,3370.05,3097.2926169652583,3642.807383034742,16.18714161717137,3382.0,3170.2,6.46500412075334,-90.9090909090909,3148.9927,3120.0000000000005,48.99267578125,0.0
920.0,3400,3269.0,3400.0,3269,10013,ok,58.82945127488573,100.0,1.0,0.4012404272343187,0.4518990670701369,17.713315055327257,10.284938080457303,74.14673390458697,3254.5,3094.141027691116,3414.8589723088844,9.854599619535067,3352.033333333333,3243.833333333333,3.2808425478582497,-0.0,3194.235,3390.0,0.0,205.764892578125
