date,open,high,low,adjclose,volume,adjclose_2,true_adjclose_2,buy_profit,sell_profit
2017-10-25,449.0,448.0,442,444,5196,441.12088,440.0,0.0,2.879119873046875
2017-11-05,435.0,433.0,413,415,28314,424.20544,414.0,0.0,-9.2054443359375
2017-11-09,410.0,410.0,400,404,37712,404.31033,414.0,0.310333251953125,0.0
2017-11-21,404.0,410.0,402,403,16320,397.84094,408.0,-5.1590576171875,0.0
2017-11-28,409.0,411.0,407,409,13219,404.745,412.0,-4.2550048828125,0.0
2017-12-10,418.0,433.0,412,413,12203,414.18854,407.00000000000006,0.0,-1.18853759765625
2017-12-11,413.0,415.0,405,410,18191,410.67456,412.0,0.674560546875,0.0
2017-12-28,405.0,410.0,397,402,23512,398.52704,409.0,-3.47296142578125,0.0
2018-01-10,409.0,416.0,407,414,21984,406.34744,406.0,0.0,7.652557373046875
2018-01-14,414.0,415.0,408,410,11021,407.2323,407.00000000000006,0.0,2.7677001953125
2018-01-16,410.0,409.0,405,406,10370,404.39102,403.0,0.0,1.608978271484375
2018-01-21,407.0,408.0,402,403,14651,400.36652,402.0,0.0,2.63348388671875
2018-02-07,385.0,385.0,378,379,13312,377.0547,376.0,0.0,1.9453125
2018-02-08,379.0,383.0,376,380,13774,374.11633,375.0,0.0,5.8836669921875
2018-02-18,391.0,400.0,384,387,24095,385.11926,370.0,0.0,1.8807373046875
2018-02-25,375.0,376.0,373,373,8238,366.39752,370.0,0.0,6.60247802734375
2018-03-07,358.0,370.0,362,370,14659,357.19547,358.0,0.0,12.804534912109375
2018-03-13,358.0,362.0,358,362,7335,353.96005,363.0,-8.039947509765625,0.0
2018-03-15,362.0,365.0,363,363,8801,358.15613,355.0,0.0,4.8438720703125
2018-03-19,361.0,362.0,355,355,5554,353.68695,344.0,0.0,1.31304931640625
2018-03-29,310.0,320.0,307,317,23880,308.33154,313.0,0.0,8.66845703125
2018-05-02,335.0,341.0,330,340,5713,329.89737,335.0,0.0,10.102630615234375
2018-05-03,340.0,342.0,336,339,14024,334.0541,332.0,0.0,4.945892333984375
2018-05-07,335.0,334.0,330,332,3275,328.479,334.0,-3.52099609375,0.0
2018-05-08,332.0,335.0,330,335,3816,326.59537,335.0,0.0,0.0
2018-05-10,334.0,340.0,334,335,9607,330.44952,334.0,0.0,4.55047607421875
2018-05-17,328.0,334.0,330,331,3940,325.09302,330.0,0.0,5.906982421875
2018-06-03,321.0,320.0,311,311,13386,311.89694,315.0,0.896942138671875,0.0
2018-06-12,310.0,316.0,306,310,6118,302.99323,315.0,-7.00677490234375,0.0
2018-06-13,310.0,316.0,309,314,9684,308.2112,312.0,0.0,5.788787841796875
2018-06-18,312.0,323.0,310,317,5328,311.38803,311.0,0.0,5.611968994140625
2018-06-21,311.0,316.0,302,310,16307,304.29987,261.0,0.0,5.70013427734375
2018-06-28,260.0,265.0,256,256,4864,254.59392,250.99999999999997,0.0,1.4060821533203125
2018-07-02,259.0,255.0,250,251,16840,251.36655,253.99999999999997,0.366546630859375,0.0
2018-07-08,261.0,271.0,260,266,10890,261.23267,264.0,0.0,4.767333984375
2018-07-09,266.0,266.0,260,260,5317,263.01395,262.0,3.013946533203125,0.0
2018-07-16,263.0,265.0,260,264,3886,258.40204,258.0,0.0,5.59796142578125
2018-07-22,258.0,262.0,255,258,5692,252.7178,264.0,-5.282196044921875,0.0
2018-08-01,258.0,263.0,256,258,4891,255.9687,260.0,-2.0312957763671875,0.0
