,adjclose,open,high,low,volume,other,RSI,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,WilliamR,adjclose_3,true_adjclose_3,buy_profit,sell_profit
356.0,1471.38,1456.9,1482.8,1451.84,68674496.0,ok,68.54669523218996,89.61617546264576,0.8943036563476131,0.9057530406182904,0.9129773629185872,19.57658612328373,11.78372348482758,21.503521836924957,1399.6595000000002,1335.4246896632335,1463.8943103367667,9.178633851556963,1439.3796666666667,1389.053666666667,3.5585777756826524,-10.383824537354256,1390.3634,1472.36,-81.01659667968761,0.0
362.0,1579.83,1488.06,1579.83,1488.06,185424000.0,ok,78.48276963496676,100.0,1.0,0.8545691628995004,0.7859063300675908,32.98305395737293,11.625358855208743,28.04354403853724,1434.701,1323.4922683464074,1545.9097316535926,15.502704975265594,1511.593,1444.525,4.5375725867505965,-0.0,1403.592,1549.2900000000002,0.0,176.23795898437493
363.0,1574.21,1589.33,1595.63,1558.48,106573000.0,ok,76.69131438766357,90.3578663065496,0.9356884064542614,0.9161729245486052,0.8433644306780418,38.23559545781973,13.50232028452443,28.954189634683523,1444.5655000000002,1321.2651675632997,1567.8658324367009,17.070923047338525,1526.1526666666666,1460.6726666666668,4.384588497307496,-9.6421336934504,1407.6948,1523.42,0.0,166.51517578125004
364.0,1556.2,1581.29,1585.15,1556.2,66408100.0,ok,71.09104854722827,82.25073148773349,0.725844993115292,0.8871777998565179,0.8859732957682077,38.92178228633088,11.350805690428466,28.95377067121517,1453.318,1324.536424671846,1582.099575328154,17.72242211658482,1535.8183333333334,1471.8483333333334,4.253795855037129,-17.749268512266507,1411.4232,1533.59,0.0,144.77678222656255
366.0,1523.42,1549.92,1553.01,1523.42,50660900.0,ok,61.720452345864736,64.4495864513588,0.0,0.4581020152325221,0.7050926552687719,32.99562506576217,2.7242952524336665,27.60585424368428,1468.724,1340.4975596064478,1596.950440393552,17.460930766236835,1548.9223333333334,1488.3963333333334,3.985488955390044,-35.550413548641195,1418.8181,1532.76,-104.60188476562507,0.0
375.0,1525.92,1531.78,1533.04,1516.98,40133300.0,ok,59.287529748948685,35.19568652970165,0.0100769501190749,0.0790947327379486,0.0641454286522911,11.417265810207937,-6.862329035465663,19.554609918860866,1521.5325,1459.4635760927663,1583.6014239072338,8.158737839281612,1545.196,1513.83,2.050718104390089,-64.80431347029834,1448.2855,1497.55,0.0,77.63447753906257
382.0,1502.11,1501.93,1510.54,1497.95,30906300.0,ok,50.57537975090512,15.132075471698078,0.1025081660586568,0.1262030251874828,0.1323251094783848,-1.773273854845911,-6.1411204629946265,16.789973416900413,1524.7289999999998,1485.6967959115543,1563.761204088445,5.11988741454321,1528.2330000000002,1498.013,1.9971938831146083,-84.86792452830193,1463.9893,1507.1,-38.1207421874999,0.0
384.0,1508.88,1501.59,1512.9,1501.44,45379400.0,ok,53.44543191037726,27.90566037735885,0.3501273967420092,0.1805193865273442,0.1314012261178543,-1.7067808579408847,-3.799836044024654,15.432678467689328,1518.724,1489.5637349805943,1547.8842650194051,3.840100639669277,1520.9203333333337,1494.1223333333332,1.7776199518680265,-72.09433962264114,1468.5963,1476.5,0.0,40.28368652343761
387.0,1476.5,1488.89,1490.01,1471.87,29158900.0,ok,40.22140950369164,6.155277851635346,0.0,0.0930129845967976,0.1806993612929514,-5.865696173770175,-5.046488752051116,17.91938260294554,1512.04,1480.4771465168014,1543.6028534831985,4.174870173169827,1517.7813333333336,1485.4993333333332,2.149782426817277,-93.84472214836464,1475.783,1447.56,0.0,0.717041015625
388.0,1464.11,1476.01,1482.13,1460.19,37299700.0,ok,36.3323816288723,4.867751148640068,0.0,1.8503717077085943e-16,0.1009117004803106,-8.871545855464547,-6.44187074699639,18.32144434265099,1508.3595,1472.728138827547,1543.9908611724532,4.724518415199178,1515.2893333333334,1481.6833333333334,2.242663096248904,-95.13224885135992,1477.9305,1451.14,0.0,-13.8205419921876
