date,adjclose,open,high,low,volume,other,RSI,stoch,stochsignal,rsidata,rsidata_k,rsidata_d,macd,macddiff,macdsignal,adjclose_5,true_adjclose_5,buy_profit,sell_profit
2020-08-11,2412.32,2433.89,2439.08,2403.3,151794000.0,ok,53.5460197,46.4307476,33.28141263,0.357598087,0.307283509,0.180730164,8.314147069,-15.05214792,23.36629498,2330.0957,2373.44,0.0,82.22429687500016
2020-08-12,2405.58,2411.67,2415.68,2396.32,113177000.0,ok,52.86009872,43.2716194,42.5569849,0.312868504,0.389371013,0.29491289,7.206199488,-12.9280764,20.13427588,2312.532,2343.55,0.0,93.04801757812493
2020-08-13,2377.61,2404.42,2404.9,2370.2,153979000.0,ok,49.99779949,30.16170612,39.95469104,0.126215151,0.26556058,0.320738368,3.154502407,-13.58381878,16.73832119,2298.6304,2355.56,0.0,78.97962890625013
2020-08-16,2348.39,2387.6,2387.6,2340.44,125271000.0,ok,47.12683534,16.4659011,29.96640887,0.0,0.146361218,0.267097604,-2.971226498,-15.76763815,12.79641165,2278.7017,2379.17,-69.68833984374987,0.0
2020-08-17,2356.02,2348.8,2356.02,2328.27,94913800.0,ok,47.96703874,20.0421842,22.22326381,0.051640267,0.059285139,0.157068979,-6.285156939,-15.26525487,8.980097934,2254.645,2434.9,-101.37498046874998,0.0
2020-08-18,2373.44,2358.21,2375.72,2356.99,79357000.0,ok,49.9235873,31.36008338,22.62272289,0.184295981,0.078645416,0.094763925,-6.485524727,-12.37249813,5.886973402,2232.7231,2454.98,-140.71685546875005,0.0
2020-08-19,2343.55,2376.09,2376.09,2342.35,119901000.0,ok,46.68014111,17.21022727,22.87083162,0.0,0.078645416,0.07219199,-9.785025303,-12.53759896,2.752573661,2222.7444,2496.12,-120.80561523437518,0.0
2020-08-20,2355.56,2342.84,2365.24,2342.27,49549900.0,ok,48.13811905,30.92105263,26.49712109,0.13344263,0.10591287,0.087734567,-10.4901115,-10.59414813,0.104036629,2207.6602,2472.62,-147.89984374999995,0.0
2020-08-23,2379.17,2355.94,2379.17,2351.66,99356500.0,ok,50.97608768,48.17982456,32.10370149,0.476612596,0.203351742,0.129303343,-8.095230062,-6.559413353,-1.535816709,2203.5852,2474.98,-175.58479492187507,0.0
2020-08-24,2434.9,2380.17,2434.9,2380.17,259396000.0,ok,56.96271149,96.67779367,58.59289029,1.0,0.536685075,0.281983229,-0.047405118,1.190729273,-1.238134391,2219.7097,2483.56,-215.1902832031251,0.0
2020-08-25,2454.98,2445.54,2457.73,2427.37,210682000.0,ok,58.90973969,98.09649062,80.98470295,1.0,0.825537532,0.521858117,7.748804846,7.189551389,0.559253457,2246.3896,2500.84,-208.59035156250002,0.0
2020-08-26,2496.12,2458.61,2509.21,2458.61,326233000.0,ok,62.63906555,93.31972442,96.03133624,1.0,1.0,0.787407536,17.51855976,13.56744505,3.951114718,2284.1099,2508.3,-212.0101367187499,0.0
2020-08-27,2472.62,2506.57,2510.85,2467.35,200618000.0,ok,59.32676046,79.06123343,90.15914949,0.792448099,0.930816033,0.918784522,21.22929008,13.82254029,7.406749791,2313.4893,2498.03,-159.1307421874999,0.0
2020-08-30,2474.98,2473.79,2474.98,2460.43,113593000.0,ok,59.55804469,80.3538175,84.24492512,0.80694057,0.86646289,0.932426308,23.53277549,12.90082056,10.63195493,2331.8289,2499.18,-143.15114257812502,0.0
2020-08-31,2483.56,2483.73,2494.6,2476.31,322736000.0,ok,60.43882266,85.0531274,81.48939278,0.862130878,0.820506516,0.872595146,25.49758575,11.89250466,13.60508109,2360.0151,2518.34,-123.54486328124995,0.0
2020-09-02,2500.84,2511.29,2517.32,2495.56,302321000.0,ok,62.22325453,91.28272944,85.56322478,0.973944922,0.881005457,0.855991621,28.14640308,11.63305759,16.51334549,2385.1372,2573.77,-115.70279296875015,0.0
2020-09-03,2508.3,2500.23,2514.5,2480.51,222231000.0,ok,62.99918329,95.22877546,90.5215441,1.0,0.9453586,0.882290191,30.11160017,10.87860374,19.23299643,2402.3088,2607.5099999999998,-105.99116210937518,0.0
2020-09-06,2498.03,2545.35,2545.35,2488.36,257538000.0,ok,61.13743559,78.20158467,88.23769652,0.885915627,0.95328685,0.926550302,29.58564753,8.282120885,21.30352665,2419.3247,2615.71,-78.7052929687502,0.0
2020-09-07,2499.18,2501.9,2506.95,2484.05,259329000.0,ok,61.27543732,77.2651172,83.56515911,0.894372111,0.926762579,0.941802676,28.61929392,5.852613818,22.7666801,2433.8818,2592.51,-65.29816406249984,0.0
2020-09-08,2518.34,2499.18,2527.7,2489.74,177765000.0,ok,63.59495141,86.69982273,80.72217486,1.0,0.926762579,0.935604003,29.37343725,5.28540572,24.08803153,2443.0083,2588.38,-75.33169921875015,0.0
2020-09-09,2573.77,2534.62,2580.99,2529.15,417017000.0,ok,69.3202303,96.97553619,86.98015871,1.0,0.964790704,0.939438621,35.32843913,8.992326078,26.33611305,2470.028,2593.25,-103.74192382812498,0.0
2020-09-10,2607.51,2583.67,2630.79,2583.5,305948000.0,ok,72.18744851,91.65980009,91.77838634,1.0,1.0,0.963851094,42.32205921,12.78875693,29.53330228,2495.1404,2605.46,0.0,112.36961914062522
2020-09-13,2615.71,2617.65,2632.41,2605.26,319457000.0,ok,72.85150924,93.37932128,94.00488586,1.0,1.0,0.988263568,47.02327658,13.99197943,33.03129714,2522.1628,2591.65,0.0,93.54715820312504
2020-09-14,2592.51,2619.79,2626.11,2591.74,303241000.0,ok,67.91106158,80.54038236,88.52650125,0.645636973,0.881878991,0.96062633,46.53465459,10.80268596,35.73196863,2546.0952,2584.27,0.0,46.41478515625022
2020-09-15,2588.38,2595.35,2597.29,2576.03,182606000.0,ok,67.03948575,74.66628308,82.86199558,0.570267546,0.73863484,0.87350461,44.58894915,7.085584417,37.50336474,2557.6753,2561.03,0.0,30.70470703125011
2020-09-16,2593.25,2591.65,2594.92,2580.88,177443000.0,ok,67.56805422,77.22991045,77.47885863,0.60934912,0.608417879,0.742977237,42.68391949,4.144443802,38.53947569,2565.0474,2571.25,0.0,28.20263671875
2020-09-17,2605.46,2599.55,2616.69,2586.5,354555000.0,ok,68.91404735,84.32957321,78.74192225,0.703804687,0.627807118,0.658286612,41.66960467,2.504103188,39.16550148,2580.6477,2570.73,0.0,24.812294921875036
2020-09-20,2591.65,2616.54,2630.14,2589.4,126991000.0,ok,65.59798249,73.88853299,78.48267222,0.415636034,0.57626328,0.604162759,38.40502641,-0.608380058,39.01340647,2580.2727,2564.11,0.0,11.377294921875091
2020-09-21,2584.27,2596.98,2603.53,2578.04,266953000.0,ok,63.83035841,68.30809743,75.50873454,0.229887816,0.449776179,0.551282192,34.37976178,-3.706915754,38.08667753,2584.1377,2556.49,0.0,0.1323046874999818
2020-09-22,2561.03,2585.07,2587.2,2553.49,262188000.0,ok,58.48577204,53.00855826,65.06839623,0.0,0.215174617,0.413738026,28.16575754,-7.936735992,36.10249353,2583.1033,2542.91,0.0,-22.0732714843748
2020-09-23,2571.25,2564.51,2571.25,2545.92,139483000.0,ok,60.06918588,58.77595039,60.0308687,0.110221551,0.113369789,0.259440195,24.3097606,-9.434186347,33.74394695,2568.9846,2536.04,0.0,2.265380859375
2020-09-24,2570.73,2569.89,2583.86,2567.05,150095000.0,ok,59.94390649,58.4254516,56.73665342,0.101500844,0.070574132,0.133039513,20.98586739,-10.20646364,31.19233104,2553.8357,2556.86,0.0,16.894306640625018
2020-09-27,2564.11,2573.39,2574.45,2563.33,120065000.0,ok,58.27754778,52.12728675,56.44289625,0.0,0.070574132,0.084839351,17.43414203,-11.00655121,28.44069323,2535.172,2560.89,0.0,28.937880859375127
2020-09-28,2556.49,2565.51,2565.51,2551.25,123710000.0,ok,56.33624612,26.47685454,45.67653096,0.0,0.033833615,0.058327293,13.70148889,-11.79136348,25.49285236,2515.8953,2550.08,0.0,40.59473632812478
2020-09-29,2542.91,2556.55,2557.05,2539.57,143385000.0,ok,52.95096224,3.597587247,27.40057618,0.0,2.59e-16,0.034802582,9.273691926,-12.97532835,22.24902028,2496.0476,2540.79,0.0,46.862392578124854
2020-09-30,2536.04,2540.13,2541.94,2525.43,106061000.0,ok,51.27241857,9.917741634,13.33072781,0.0,2.59e-16,0.011277872,5.220185586,-13.62306775,18.84325334,2473.9111,2540.59,-62.128867187499964,0.0
2020-10-01,2556.86,2535.08,2558.99,2532.62,119309000.0,ok,55.8410507,30.01623532,14.5105214,0.258968839,0.086322946,0.028774315,4.602201312,-11.39284162,15.99504293,2449.9783,2541.44,0.0,106.88172851562513
2020-10-04,2560.89,2556.73,2563.94,2556.07,109936000.0,ok,56.6875624,33.86496037,24.59964577,0.3069526,0.18864048,0.091654475,4.509096102,-9.188757465,13.69785357,2433.4207,2532.51,0.0,127.46934570312487
2020-10-05,2550.08,2561.07,2562.74,2546.19,123382000.0,ok,53.71315647,23.54120905,29.14080158,0.138351052,0.234757497,0.169906975,3.132280251,-8.452458653,11.5847389,2421.2954,2536.44,0.0,128.78458984374993
2020-10-06,2540.79,2555.79,2560.46,2535.06,113788000.0,ok,51.22559308,14.66908605,24.02508516,0.0,0.148434551,0.190610843,1.070845088,-8.411115052,9.481960141,2411.0383,2522.81,0.0,129.75166992187496
2020-10-07,2540.59,2540.31,2545.94,2527.23,134620000.0,ok,51.17064996,14.47808232,17.56279247,0.0,0.046117017,0.143103022,-0.403007496,-7.907974109,7.504966613,2399.8232,2517.49,0.0,140.76675781250015
2020-10-08,2541.44,2540.51,2547.15,2531.14,130683000.0,ok,51.40918609,20.4993598,16.54884272,0.01884215,0.006280717,0.066944095,-1.31757206,-7.058030938,5.740458879,2387.09,2515.89,0.0,154.34991210937505
2020-10-11,2532.51,2541.66,2543.83,2518.92,121494000.0,ok,48.71661283,19.90333919,18.29359377,0.0,0.006280717,0.019559484,-2.909553189,-6.920009654,4.010456465,2376.835,2504.66,0.0,155.67503906250022
2020-10-12,2536.44,2540.36,2541.08,2525.13,115929000.0,ok,49.95878116,26.97874962,22.46048287,0.109417339,0.042753163,0.018438199,-3.501674632,-6.009704878,2.508030246,2365.9895,2515.3,0.0,170.45049804687505
2020-10-13,2522.81,2535.4,2537.56,2522.49,92179400.0,ok,45.81410198,5.990144749,17.62407785,0.0,0.036472446,0.028502109,-5.339025885,-6.277644905,0.93861902,2358.6973,2531.74,-164.11273437499995,0.0
2020-10-14,2517.49,2521.65,2523.91,2510.13,80920500.0,ok,44.27029857,11.44278607,14.80389348,0.0,0.036472446,0.038566019,-7.06857673,-6.4057566,-0.66282013,2350.8606,2535.15,-166.62940429687478,0.0
2020-10-15,2515.89,2510.58,2536.45,2507.53,74038300.0,ok,43.7923468,14.41876509,10.61723197,0.0,2.59e-16,0.024314964,-8.267560605,-6.083792379,-2.183768225,2345.3633,2535.96,-170.52671874999987,0.0
2020-10-18,2504.66,2515.73,2515.89,2498.4,57083800.0,ok,40.48830402,9.551418981,11.80432338,0.0,2.59e-16,0.012157482,-10.14012821,-6.365087985,-3.775040221,2339.4414,2561.15,-165.21859374999985,0.0
2020-10-19,2515.3,2505.23,2520.67,2504.25,51316000.0,ok,44.74220657,25.78577968,16.58532125,0.262598599,0.087532866,0.029177622,-10.00214709,-4.981685492,-5.020461595,2332.6545,2573.88,-182.64545898437518,0.0
2020-10-20,2531.74,2516.56,2531.74,2515.13,65327000.0,ok,50.61597187,50.86969789,28.73563218,0.625193303,0.295930634,0.127821167,-7.833119471,-2.250126301,-5.58299317,2328.206,2603.29,-203.53394531249978,0.0
2020-10-21,2535.15,2532.58,2536.99,2531.44,64384100.0,ok,51.7613669,56.0726274,44.24270166,0.695899937,0.527897279,0.303786926,-5.761245577,-0.142601926,-5.618643651,2330.0837,2665.59,-205.0662597656251,0.0
2020-10-22,2535.96,2538.27,2539.1,2532.44,74568500.0,ok,52.04588505,58.37737022,55.10656517,0.873928921,0.731674054,0.518500656,-4.096585957,1.217646155,-5.314232112,2338.3916,2672.4200000000005,-197.56839843750004,0.0
2020-10-28,2561.15,2535.74,2561.15,2535.38,86322500.0,ok,59.95596171,100.0,71.48333254,1.0,0.856609619,0.705393651,-0.045671011,4.214848881,-4.260519892,2351.902,2668.75,-209.2479003906251,0.0
2020-10-29,2573.88,2562.61,2578.1,2561.74,175112000.0,ok,63.25465586,94.70514429,84.36083817,1.0,0.957976307,0.848753327,4.170533668,6.744842848,-2.57430918,2378.4695,2655.41,-195.4105175781251,0.0
2020-11-01,2603.29,2575.21,2603.29,2568.34,193264000.0,ok,69.50476345,100.0,98.2350481,1.0,1.0,0.938195309,10.25024224,10.25964114,-0.009398895,2411.98,2666.27,-191.31001953124996,0.0
2020-11-02,2665.59,2602.91,2666.7,2602.91,502662000.0,ok,78.02980906,99.34046346,98.01520258,1.0,1.0,0.985992102,21.12262738,16.90562102,4.217006359,2467.525,2697.89,-198.06509765625015,0.0
2020-11-03,2672.42,2666.93,2708.0,2663.2,412460000.0,ok,78.7317707,83.02480916,94.12175754,1.0,1.0,1.0,28.87668062,19.72773941,9.148941212,2519.4373,2702.7799999999997,-152.98274414062507,0.0
2020-11-04,2668.75,2676.45,2682.53,2662.01,187323000.0,ok,77.3025367,81.27385496,87.87970919,0.962628022,0.987542674,0.995847558,33.11672532,19.17422728,13.94249803,2553.9565,2709.92,-114.79345703125,0.0
2020-11-05,2655.41,2670.56,2673.89,2651.85,204883000.0,ok,72.1738338,74.90935115,79.73600509,0.82852138,0.930383134,0.972641936,33.7481951,15.84455765,17.90363745,2581.9958,2708.2,-73.41415039062485,0.0
2020-11-08,2666.27,2657.47,2666.27,2647.07,264559000.0,ok,73.70341264,80.09064885,78.75795165,0.868517201,0.886555534,0.934827114,34.5581447,13.3236058,21.2345389,2600.937,2722.8,-65.33298828124998,0.0
2020-11-09,2697.89,2670.02,2707.06,2668.46,390153000.0,ok,77.56951904,95.17652672,83.39217557,0.969609145,0.888882575,0.901940414,37.77815566,13.23489341,24.54326225,2622.9429,2769.18,-74.94712890624987,0.0
2020-11-10,2702.78,2707.34,2713.87,2695.42,309517000.0,ok,78.10561054,94.70947429,89.99221662,0.98157787,0.939901405,0.905113171,39.61487545,12.05729056,27.55758489,2636.9243,2764.2999999999997,-65.8556835937502,0.0
2020-11-11,2709.92,2699.04,2709.92,2686.26,382570000.0,ok,78.89863209,98.01247862,95.96615987,1.0,0.983729005,0.937504328,40.69989468,10.51384783,30.18604685,2655.7866,2743.38,-54.13337890625007,0.0
2020-11-12,2708.2,2716.04,2717.26,2696.29,310296000.0,ok,78.16416095,95.12431385,95.94875558,0.972934961,0.98483761,0.96948934,40.25398464,8.054350235,32.19963441,2672.6465,2768.98,-35.55351562499982,0.0
2020-11-18,2722.8,2710.51,2722.8,2699.06,274460000.0,ok,79.87660215,100.0,97.71226416,1.0,0.99097832,0.986514979,40.57399784,6.699490744,33.87450709,2683.2524,2875.84,-39.54755859375018,0.0
2020-11-19,2769.18,2724.3,2769.18,2724.3,539092000.0,ok,84.13347111,100.0,98.37477128,1.0,0.99097832,0.988931417,44.94674775,8.857792528,36.08895522,2709.5984,2859.19,-59.581611328124836,0.0
2020-11-22,2764.3,2775.76,2813.14,2732.85,470363000.0,ok,82.16402352,80.57279236,93.52426412,0.905672445,0.968557482,0.983504707,46.31786503,8.183127848,38.13473719,2733.4849,2886.94,-30.815136718750182,0.0
2020-11-23,2743.38,2766.55,2773.62,2738.67,254043000.0,ok,74.15062106,71.50326797,84.02535345,0.317584965,0.741085803,0.900207202,43.79770254,4.53037228,39.26733026,2740.9097,2924.54,-2.470332031250109,0.0
2020-11-24,2768.98,2740.93,2769.25,2735.54,349671000.0,ok,77.09460845,78.99443467,77.02349833,0.411448485,0.544901965,0.751515083,43.81838766,3.640845924,40.17754174,2747.7551,2925.97,-21.224873046875018,0.0
2020-11-25,2875.84,2770.76,2878.59,2770.76,569069000.0,ok,84.85064519,98.81219765,83.1033001,1.0,0.576344483,0.620777417,54.62408632,11.55723567,43.06685065,2770.736,3158.54,-105.10391601562515,0.0
