date,adjclose,open,high,low,volume,other,RSI,adjclose_5,true_adjclose_5,buy_profit,sell_profit
1608508800,1298,1208,1309,1180,134143,ok,62.1426444761647,1033.3588,1375.0,-264.6412353515625,0.0
1608595200,1337,1325,1355,1303,84940,ok,64.42079636463824,1034.4988,1453.0,-302.501220703125,0.0
1608681600,1320,1363,1370,1292,89708,ok,62.65097579018977,1036.0558,1580.0000000000002,-283.9442138671875,0.0
1608768000,1315,1320,1337,1295,74154,ok,62.110502841464,1037.1785,1541.0,-277.821533203125,0.0
1609027200,1314,1320,1341,1295,104528,ok,61.9953115497697,1038.3336,1603.0,-275.6663818359375,0.0
1609113600,1375,1332,1384,1295,157046,ok,66.12272174531996,1041.6267,1560.0,-333.373291015625,0.0
1609200000,1453,1400,1497,1381,192533,ok,70.5299962232267,1049.101,1572.9999999999998,-403.8990478515625,0.0
1609286400,1580,1480,1580,1462,224404,ok,76.0038886401487,1062.0992,1569.9999999999998,0.0,517.9007568359375
1609372800,1541,1600,1620,1520,169268,ok,71.60536244352296,1077.0394,1579.0000000000002,-463.9605712890625,0.0
1609632000,1603,1550,1612,1521,119493,ok,74.16507039893581,1092.8004,1569.9999999999998,0.0,510.1995849609375
1609718400,1560,1620,1640,1557,123483,ok,69.48647167369786,1107.6992,1558.0,0.0,452.30078125
1609804800,1573,1560,1600,1540,57135,ok,70.10057133051068,1120.5073,1569.9999999999998,0.0,452.49267578125
1609891200,1570,1600,1600,1540,64120,ok,69.75170117736893,1131.8022,1659.9999999999998,-438.19775390625,0.0
1609977600,1579,1593,1594,1570,87829,ok,70.23035534770148,1141.9928,1654.9999999999998,-437.0072021484375,0.0
1610236800,1570,1585,1600,1566,70598,ok,69.05358476116822,1150.6056,1670.0000000000002,-419.3944091796875,0.0
1610323200,1558,1648,1648,1546,58524,ok,67.43120952547187,1158.2393,1638.0,-399.7607421875,0.0
1610409600,1570,1578,1588,1552,31125,ok,68.23492015888067,1164.2275,1622.0,-405.7724609375,0.0
1610496000,1660,1570,1700,1555,99454,ok,73.51402204611178,1172.1915,1626.0,0.0,487.8084716796875
1610841600,1655,1680,1710,1650,58166,ok,72.79026043468521,1181.066,1648.0,0.0,473.9339599609375
1610928000,1670,1720,1720,1645,51596,ok,73.62905758908992,1190.7977,1640.0,0.0,479.2022705078125
1611014400,1638,1694,1694,1632,83341,ok,68.75929926962002,1199.2144,1613.0,0.0,438.78564453125
1611100800,1622,1640,1660,1600,46478,ok,66.39475932465584,1204.8923,1590.0,0.0,417.107666015625
1611187200,1626,1630,1647,1615,56208,ok,66.70303872535727,1208.6573,1600.0,0.0,417.3426513671875
