,adjclose,open,high,low,volume,other,RSI,adjclose_5,true_adjclose_5,buy_profit,sell_profit
1391.0,162,160,162,157,1241,ok,24.171427763771405,192.55296,161.0,0.0,-30.552963256835938
1392.0,162,165,165,162,275,ok,24.171427763771405,185.38931,163.0,23.389312744140625,0.0
1393.0,162,163,163,162,560,ok,24.171427763771405,177.89467,161.0,0.0,-15.894668579101562
1394.0,162,162,162,160,850,ok,24.171427763771405,171.09619,163.0,9.09619140625,0.0
1395.0,162,164,165,162,1128,ok,24.171427763771405,165.59627,168.0,3.5962677001953125,0.0
1396.0,161,162,162,161,964,ok,23.62867135976795,161.25885,173.0,0.25885009765625,0.0
1397.0,163,159,163,159,1709,ok,27.15185924059095,158.36563,170.0,-4.634368896484375,0.0
1398.0,161,166,166,161,1068,ok,25.866772664973368,156.55182,173.0,-4.44818115234375,0.0
1399.0,163,158,163,158,433,ok,29.462112493492384,155.65042,179.0,-7.349578857421875,0.0
1400.0,168,163,168,163,2394,ok,37.60870064005845,156.28331,191.0,-11.716690063476562,0.0
1401.0,173,170,173,170,1380,ok,44.51030886615818,158.49081,188.0,-14.509185791015625,0.0
1402.0,170,175,175,170,1640,ok,41.541103510867984,160.96365,186.0,-9.036346435546875,0.0
1403.0,173,170,177,170,2169,ok,45.45928995846917,163.60721,184.0,-9.392791748046875,0.0
1404.0,179,176,180,175,2474,ok,52.33958391511565,166.85251,187.0,-12.147491455078125,0.0
1405.0,191,180,195,180,7025,ok,62.522487703993626,171.61931,171.0,0.0,19.380691528320312
1406.0,188,201,201,188,2008,ok,59.12165635179646,176.66473,180.0,0.0,11.33526611328125
1407.0,186,182,188,182,2203,ok,56.89961765289059,180.41405,183.0,0.0,5.5859527587890625
1408.0,184,187,187,183,1596,ok,54.6861799849186,182.81387,184.0,0.0,0.0
1409.0,187,187,187,180,6382,ok,57.36532863379835,184.52675,190.0,-2.4732513427734375,0.0
1410.0,171,190,190,169,3038,ok,42.82318295834968,184.12155,190.0,13.121551513671875,0.0
1411.0,180,174,180,174,2262,ok,50.43458954996954,183.11392,190.0,3.113922119140625,0.0
1412.0,183,183,185,179,2330,ok,52.69513966820576,182.44652,184.0,-0.5534820556640625,0.0
1413.0,184,186,189,184,1907,ok,53.45713442068932,182.30998,187.0,-1.6900177001953125,0.0
